year,source id,target id
2002,203020,2052888
2002,203245,958819
2002,204226,6915106
2002,212072,210220
2002,201255,5688763
2002,201047,3435257
2002,205244,4679140
2002,208063,107243
2003,304240,5594920
2002,204123,9804058
2002,205182,9906156
2002,209067,2964265
2002,203183,3485144
2002,203099,201222
2003,210029,9160
2003,303207,7111009
2002,207017,6762728
2002,204195,9906057
2003,304269,209014
2002,207052,6077949
2003,303055,8096370
2002,201079,2254643
2002,206052,8796583
2003,303182,2219962
2002,208142,77545
2002,205067,9907216
2002,110022,9083
2002,208089,1998417
2003,204248,107200
2002,203049,9806087
2002,207072,2091648
2002,204148,2293497
2002,203091,110260
2002,204089,2935427
2002,210310,7567980
2002,203247,1581225
2002,209230,1200
2003,212295,7350684
2002,210040,7194694
2002,210249,6117
2002,211209,9801195
2002,202083,9609075
2002,204146,2325879
2002,205306,101126
2002,203046,252559
2003,301093,5311091
2002,112072,6825774
2002,203050,5045
2003,212208,7149292
2002,112104,9611107
2002,206154,4099722
2002,203139,12425
2002,209164,105149
2003,111020,6245284
2003,211013,9122
2002,211033,107185
2002,204089,12188
2002,201183,9503124
2003,212217,211218
2002,212083,8399346
2002,205306,7892094
2002,210281,2228274
2002,205015,204004
2003,303181,4037960
2002,205299,9022
2002,210250,103239
2002,204206,2201285
2002,111081,9906182
2002,112187,108101
2002,210254,6853316
2003,212269,206073
2002,205089,2682600
2003,303056,8784833
2002,203101,474999
2002,207077,9812193
2002,201019,9802150
2003,301085,112175
2003,303042,2015013
2003,301135,211291
2002,202173,4957161
2003,211257,5484889
2002,211158,9712226
2002,205174,375183
2003,212111,202021
2002,203203,2564735
2002,202113,12208
2002,208227,9318064
2003,303199,12251
2002,212093,9183
2002,210087,8457477
2002,209240,104036
2002,207081,9902001
2002,204234,7845175
2002,210187,861073
2002,210313,12210
2002,209260,9605033
2002,209111,3342943
2002,205010,5461851
2003,301178,4123224
2002,203149,9904109
2002,202104,112190
2003,210269,203201
2002,111044,379096
2003,301182,4366530
2002,208048,9307158
2002,201253,9905020
2002,205187,6764195
2003,303139,9476537
2003,304206,8578441
2002,210262,203186
2002,206232,8518897
2002,111044,8162846
2003,301186,104112
2002,204260,2072559
2002,207006,2222
2002,206097,834831
2002,207006,8906944
2002,205138,9703179
2002,206010,204033
2002,202012,3142
2002,204031,274435
2002,201247,12052
2002,207139,9647211
2003,304258,12156
2002,211178,7081414
2002,208074,201081
2002,211272,8023681
2002,206072,2958690
2002,202034,9707175
2002,208163,203048
2002,207241,9904191
2002,210311,4268124
2002,204112,202008
2003,304009,7866239
2002,205060,9808039
2002,208163,3319918
2002,206248,586746
2002,209230,5517746
2002,206091,2480876
2003,303199,201113
2002,112200,9909110
2002,203229,202109
2002,109191,103227
2002,212216,7776596
2002,105097,4328062
2002,201247,10252
2002,202033,7886286
2002,203160,11073
2002,205089,203231
2003,303015,9804092
2002,209230,62070
2003,301206,203229
2002,110005,9263063
2002,207119,8488567
2002,202139,1004941
2002,209121,9912028
2002,211150,2450660
2002,206141,7791021
2002,204004,9110910
2003,301226,2128541
2002,203003,710153
2002,207107,9205088
2002,208141,9812193
2002,212109,9111937
2003,303185,9904009
2002,212227,8511949
2002,205209,2159
2002,209004,488125
2002,202006,2051367
2002,208021,8620565
2002,111228,1664615
2002,204066,5025
2002,210162,2326812
2002,102127,9306052
2002,212041,6509921
2002,203191,6376158
2002,202151,658499
2002,211126,1817999
2002,211090,207104
2003,302155,8895618
2002,207165,9720834
2003,212297,8503661
2002,211208,9206026
2002,209084,8831823
2002,110028,7727711
2002,211178,209160
2003,303035,8763389
2002,207184,2846060
2002,205149,110073
2002,208187,3594643
2002,111228,8715464
2003,302070,1122383
2002,201233,9904063
2002,204183,3966266
2003,303065,9411149
2002,201234,5225
2002,203006,9501042
2003,303256,5319564
2003,302129,1814414
2002,210221,683984
2002,108010,4194924
2003,304266,106022
2002,212037,3286
2003,303236,8504503
2003,301031,5799767
2002,206010,7181689
2002,212193,9802150
2003,212343,208029
2003,110026,1254719
2002,112219,9509174
2002,204231,204061
2002,212190,106117
2002,211011,7159688
2002,208227,2258403
2002,210217,2674324
2002,212314,8269926
2003,303015,9801114
2002,204170,5026870
2002,204261,204144
2003,204248,10105
2003,302174,1112330
2002,207117,9085812
2003,212069,1807374
2003,212155,5016
2002,205106,8844472
2003,204169,12128
2002,212206,5409081
2003,302144,7022708
2002,205288,108187
2002,210206,110170
2002,209261,9658867
2002,212114,9408099
2002,211291,7090251
2002,202094,112223
2002,112180,103030
2003,301183,9905086
2003,304093,105001
2002,111228,9606138
2002,202094,4959049
2002,211118,6454501
2002,208176,9712241
2002,206058,9903077
2002,202032,106005
2003,302195,105242
2002,207243,203115
2003,209025,6782439
2002,203035,101160
2002,208066,5736606
2003,301186,8285451
2003,211235,8515686
2002,206253,4155
2002,203265,3124
2002,211025,7054802
2002,203111,2056419
2002,207009,109122
2003,302165,6972045
2002,207175,7179455
2002,203157,7695508
2002,210046,7196436
2002,204212,8101989
2002,205187,9701185
2002,204158,201258
2002,204081,6880022
2003,208110,10044
2003,304007,7170
2002,205269,2468026
2002,110113,8205
2002,212261,8046249
2003,303256,1807968
2003,206006,2283403
2003,211141,9411149
2003,303023,8538606
2003,212006,1329129
2002,106149,9232982
2002,105255,102023
2002,205104,4523267
2002,210300,8106028
2002,206214,8823162
2002,206093,9611238
2002,203131,2700122
2002,205155,3263
2003,303110,3887471
2002,209219,2930662
2002,203050,3157532
2003,303102,9912236
2002,211021,1306993
2002,211261,211100
2002,207188,9605200
2002,202150,10206
2002,207116,9908125
2002,210157,9903038
2002,205006,111228
2003,303032,301071
2002,210062,8746519
2003,301187,7266118
2002,210157,9812227
2002,112249,112026
2003,301032,3277505
2002,212326,5209
2002,5143,2314179
2002,211129,8733838
2002,205087,8755515
2002,206020,7974526
2002,203080,5563191
2002,203149,2369487
2002,212300,211132
2002,104041,604127
2002,201127,9584226
2003,212208,211257
2002,202188,9611038
2002,203235,8967732
2002,202156,3912100
2002,204148,5013178
2002,205283,121349
2002,205004,274235
2002,204012,102112
2002,112008,2594082
2003,303233,251654
2002,207257,6221314
2002,207223,5358368
2002,201258,9906051
2003,301178,8853511
2002,202186,6737396
2002,207140,201040
2002,206036,9086
2002,204052,1559447
2002,202126,9608085
2002,205204,8684705
2002,203187,9740522
2002,207272,9602070
2002,208207,5373606
2003,301066,210042
2002,206065,7911803
2002,204030,8038545
2002,111044,11077
2002,204174,1964056
2003,212116,112251
2002,210203,107216
2003,304028,303060
2002,211076,2657840
2003,304030,1695083
2003,301117,2956362
2003,304033,211200
2002,205288,9306069
2002,210258,17717
2002,111236,108222
2003,304053,3858507
2002,206098,7313747
2002,112126,111082
2002,202156,9805217
2002,212313,3224164
2002,206127,9407087
2002,112235,6609923
2003,302070,3309696
2002,205150,6515376
2003,301096,8568307
2003,303253,1657096
2002,105233,6626387
2002,211086,9610053
2002,211253,8142712
2002,205271,201189
2002,209138,4080141
2002,210079,9909129
2003,302191,4802461
2002,207006,109063
2002,202103,3136
2002,208163,110226
2003,211238,201159
2003,304011,9205088
2002,201026,711846
2002,207222,9910004
2002,202147,11127
2002,203108,10021
2002,211202,3692049
2002,203064,12035
2003,301104,9812067
2003,304166,919891
2002,202032,9391119
2002,201113,6700278
2003,303065,7269406
2003,303198,1022429
2002,208207,8423962
2002,207223,202157
2002,204257,9909134
2002,202063,110167
2002,205191,106144
2002,206042,9782883
2002,203239,7218433
2003,303124,11281
2002,208158,3857951
2002,211292,9213645
2003,302181,417847
2002,205222,107233
2002,201260,9008
2002,210246,209215
2002,210229,5185608
2002,208044,7057287
2002,201064,7098293
2002,201136,105059
2002,203136,108013
2002,211118,2156351
2002,203211,9404008
2003,212217,3434504
2003,304153,9511194
2002,206229,6154
2002,202037,106001
2002,208141,9908040
2002,1077,9705037
2003,302097,3029
2003,303016,9510227
2003,210041,1405779
2002,208070,207284
2002,206007,107055
2002,202205,1068251
2003,301237,5129
2002,202022,7914178
2002,206080,108075
2003,303072,9610043
2002,205282,9408164
2003,301023,106151
2002,210291,6702053
2002,207130,9806051
2002,202135,104124
2003,304099,108110
2002,209226,8927804
2003,208110,2264893
2003,302219,999245
2002,207184,9709138
2002,107242,106259
2002,204201,6432913
2002,202116,8830269
2003,212329,679546
2002,210292,9896825
2002,206007,201157
2002,211245,8945178
2002,210280,9903238
2002,212137,2992979
2003,212262,7073864
2002,205053,1936050
2002,112264,4056846
2003,212253,212212
2002,210187,371430
2002,211060,4147
2003,303138,4320547
2003,207076,1807688
2003,303173,9705130
2002,203112,5614664
2002,204096,9647995
2002,203271,111127
2002,212114,9611230
2002,209010,9601097
2002,210135,206255
2002,210292,11073
2002,206138,104343
2002,210091,813205
2002,207040,112041
2002,207249,9610043
2002,206144,106186
2002,209235,7026847
2002,109191,4957222
2002,201182,9612162
2002,206029,508482
2003,211288,109150
2003,302058,9401070
2002,207089,5642268
2003,303199,112169
2003,301131,4977791
2002,203157,5446089
2002,205010,102182
2002,208108,201061
2002,205290,203031
2002,210305,202043
2002,201171,9909176
2003,303199,6117444
2002,208209,3917363
2002,202135,832013
2002,207160,1253258
2002,203217,9911011
2002,204148,9408064
2002,208003,1005281
2002,211097,6902234
2002,210305,9210510
2002,202088,177049
2002,210272,9409089
2002,201270,8546961
2002,210265,9802109
2002,212121,3859605
2002,207252,5061
2002,208216,3378582
2002,208100,6070073
2003,210278,9712226
2002,207176,208111
2002,108010,6825621
2002,211033,9268327
2002,210168,9803015
2002,112019,7421621
2002,205187,5359598
2002,112168,9910243
2002,204228,9603003
2002,203208,4316356
2003,212253,9487538
2002,207156,3031
2002,206208,7489567
2002,204053,105299
2002,201039,9309097
2002,212260,2217
2002,111133,3160
2003,206196,6989544
2002,204009,107140
2002,204089,9711200
2002,204127,9505100
2003,208195,9608092
2002,201151,9501068
2002,206245,12227
2003,212116,7436982
2002,207127,7263842
2002,207279,9601073
2002,109069,1016543
2002,207105,111030
2002,208142,6436469
2002,201224,523872
2002,203268,9311103
2002,210102,209263
2002,205037,971941
2003,210251,8138549
2002,207130,9906006
2002,205123,2097634
2002,209263,202021
2003,304033,3820265
2002,205321,4681836
2002,201237,4409929
2002,206103,960735
2002,209034,691239
2003,303236,212063
2002,208092,3554521
2002,201010,103170
2002,202172,9407087
2002,203083,110265
2003,210029,8347144
2002,208165,6409854
2002,205200,8177002
2002,209085,208048
2002,204083,3510344
2002,209225,208029
2002,203157,9503030
2002,212251,2623901
2002,211245,7300779
2002,212121,207106
2003,302142,9809030
2002,202172,6695673
2002,105097,2159
2003,303139,2992688
2002,108240,9308045
2003,212290,3397711
2002,206217,4629093
2002,201151,955689
2003,210224,206228
2002,112119,74326
2003,304143,2701506
2002,111044,9507022
2003,304211,202129
2002,112228,10096
2003,304032,595759
2002,206132,8541620
2002,112013,6917414
2002,211285,648619
2002,10145,6952635
2002,201073,8022
2003,303194,9403058
2002,212077,111228
2002,211121,104200
2002,108119,7146
2002,201047,9606032
2003,212168,206084
2002,203269,4102718
2002,206041,112054
2003,302218,3734648
2003,301010,110108
2002,203261,10285
2002,205210,9910004
2002,209146,9511134
2002,204001,2773769
2003,304178,7526078
2002,206167,205311
2002,209080,3661753
2002,105134,9811005
2002,204210,2050
2002,208112,9608024
2002,203085,9906010
2002,111210,11060
2002,209169,9703040
2002,201253,9602052
2003,304025,110242
2002,202118,111235
2002,205034,8079671
2002,203144,107229
2002,204143,2223
2002,204137,9741373
2002,203031,104136
2002,208035,9909126
2002,202184,4671237
2003,111020,9510083
2002,205170,1784991
2002,109069,4142320
2003,303204,107166
2003,301164,9711200
2002,211135,4664932
2002,203272,4652044
2003,304100,4362559
2003,211257,202157
2003,211290,9084702
2003,209158,111277
2002,212177,107143
2002,105097,9710230
2002,212189,1124708
2002,201205,6629331
2003,301055,9712105
2003,301186,110196
2002,201174,112152
2002,205321,3914272
2002,209200,9603074
2002,208067,1154664
2002,211067,9811017
2003,201149,102112
2002,205149,2938120
2002,207123,2803070
2003,304020,201019
2003,303253,107097
2003,304211,9805165
2002,212228,638273
2002,201197,8260848
2003,301122,6683802
2002,209190,201256
2002,203199,5993666
2002,201253,8207820
2003,303065,9411048
2002,210057,6071203
2002,205085,9816074
2002,211287,211202
2003,301227,211070
2002,212242,413424
2002,207111,4651986
2002,208065,106113
2002,209161,1084857
2003,212297,5413827
2002,211086,5013747
2002,204068,211309
2002,209206,9808139
2002,205015,888874
2002,212025,4232077
2002,212255,9606122
2002,211149,9802074
2002,206118,204168
2003,301240,201029
2002,205321,9000997
2002,205221,2073330
2002,110298,11156
2003,303138,9408098
2002,204234,4741001
2002,201179,9610191
2003,304180,823379
2002,209145,7315601
2002,207114,9903053
2003,212105,208109
2002,209230,4615373
2002,210090,9910053
2002,207116,9905104
2002,209228,4787234
2003,304134,6604802
2003,304225,303238
2002,204201,6670606
2002,208222,8270770
2002,209017,204245
2003,212063,9902105
2002,212009,210269
2002,211130,507253
2002,204215,9301067
2003,303134,6680959
2002,208166,9213734
2002,203140,104136
2002,106181,7046
2003,304187,9498812
2002,212261,206216
2002,203237,9405035
2002,204143,6713657
2002,204004,9122059
2003,302006,4768580
2003,211193,5683038
2003,301226,211287
2002,210215,5620725
2002,208012,9803188
2002,209089,9295791
2002,212317,3995572
2002,205228,201047
2002,202168,4175568
2002,212200,4068
2002,205187,104227
2002,110188,8493897
2002,112175,7912545
2003,301176,211041
2002,201025,10071
2003,304198,3784965
2002,112176,9912167
2002,201144,1557681
2003,303204,7099721
2002,9704067,6449754
2002,207139,8235761
2002,207243,109096
2003,302182,9902105
2002,204234,1575632
2002,209209,8409381
2003,302153,204026
2002,210088,7977172
2003,210224,206163
2002,212239,7289161
2002,203188,111281
2002,208068,12072
2002,211086,5692514
2002,202032,9302032
2002,210150,3700795
2002,202037,105243
2002,206065,202021
2003,303115,7635832
2002,207266,9202015
2002,205008,8502048
2002,211103,107012
2002,207175,6742660
2003,212103,9611174
2002,201113,4168547
2002,205070,8353401
2002,203059,4689058
2002,208101,9708157
2002,206167,205066
2002,205131,9512059
2002,211011,8259446
2002,205045,6430660
2002,202056,6423224
2002,204112,7363385
2003,304169,5319414
2002,209195,6285488
2003,212111,205089
2002,201093,110184
2002,212314,6312461
2002,211291,210239
2002,203204,7003336
2002,203261,505387
2002,207049,10201
2002,207016,1472713
2003,302147,9134337
2002,212139,591753
2003,303039,4241872
2002,110058,9808120
2002,201177,201149
2002,203048,8410728
2002,112228,5172573
2003,212096,2443505
2002,210292,204150
2002,206002,524574
2002,204122,7840616
2002,202060,109133
2002,207241,4972021
2002,205132,204051
2002,208151,9612182
2002,203250,9206071
2003,303039,3000331
2002,211024,205142
2003,210105,9902210
2002,201182,10167
2002,206033,8641641
2002,204196,7731849
2002,203191,6933828
2003,303011,107134
2002,208145,7322849
2002,203038,10113
2002,210253,3232
2003,303015,5067
2002,212200,9704142
2002,207257,207223
2002,112165,11225
2002,110019,6013
2002,212083,211170
2002,205321,9708042
2002,205084,9056
2002,206241,3369859
2002,108240,9411109
2002,211027,2144936
2003,303191,2066
2002,207130,9801073
2003,303155,4390388
2003,303237,5180504
2002,203124,2244
2002,204047,8344492
2002,203204,106036
2003,303153,1196107
2002,202103,8039545
2003,302057,9802183
2002,211040,112203
2002,212284,4038
2003,303034,111217
2002,109069,7746287
2002,201138,9911136
2002,204163,9706050
2002,211122,7258657
2002,207171,2446375
2002,204155,7885897
2002,202188,6819504
2002,205154,5864264
2002,210137,9807076
2002,204213,108219
2002,210083,9601038
2003,211041,54545
2002,207280,205180
2002,210313,7050296
2003,301150,7117095
2002,209068,104045
2002,212201,9903241
2002,211059,108131
2002,203065,9505175
2002,112176,8473737
2002,207029,111057
2002,206164,8142
2002,208165,4346727
2002,201057,1381770
2002,204027,106112
2002,207116,4077
2002,205299,8787318
2003,302158,9206894
2003,304169,205134
2003,301088,915608
2003,301102,5853400
2003,208146,9912144
2002,206164,202208
2003,303236,105098
2002,207244,5186
2003,212290,6763710
2002,207275,9811053
2003,302086,9802109
2003,302172,6411770
2003,208211,110120
2002,202162,9908074
2002,205193,103013
2002,209223,111102
2002,205075,2044
2002,203217,106034
2002,207102,9806051
2003,304231,830832
2002,106149,9810226
2002,206247,112154
2002,211025,9905104
2003,303230,211082
2002,202109,110242
2003,303016,211182
2003,303214,4019773
2003,212329,7078192
2003,211288,9908189
2003,301072,110226
2002,211039,26974
2002,206033,211715
2002,201105,7108909
2002,211057,107054
2003,304212,9015959
2002,205306,202074
2002,106040,9904131
2002,211068,4618698
2002,207101,3271828
2002,110117,9910093
2002,205297,9511164
2003,303223,205106
2003,303182,2815153
2002,112048,9811244
2003,303016,203187
2003,301150,4557887
2002,110022,6372100
2003,301161,9906070
2003,304001,4112364
2003,304271,9510101
2002,208142,4007350
2002,211289,205288
2002,204045,4692121
2002,111022,9902018
2002,208038,112044
2002,204103,105038
2002,205016,5621449
2002,209145,121517
2003,301011,8565984
2002,206203,5657077
2002,206214,4251728
2003,304183,202109
2002,211181,4155
2003,211041,652472
2002,205258,9056293
2002,112027,105192
2003,304129,5438432
2003,303001,207106
2002,210193,111121
2003,302203,776408
2002,204012,468100
2002,211131,8183514
2002,202024,1201981
2002,208231,112044
2002,202135,201227
2002,205191,8808185
2003,301112,8253462
2003,302081,5350051
2002,205087,110143
2002,202144,110073
2002,205101,10252
2003,304204,9127532
2002,202044,5306390
2002,205036,2749339
2003,302104,2702923
2003,301099,9901106
2002,207116,9905179
2002,201271,7028322
2002,209164,1494740
2002,201113,9603167
2002,212252,2850321
2002,210200,203187
2002,204051,202021
2002,212346,6771938
2002,211164,9822560
2002,208130,101105
2002,204253,4949136
2002,210234,4181968
2002,211207,9517948
2002,204155,6151869
2002,112223,8400517
2002,205227,8565593
2003,209029,9906022
2003,303102,3546704
2002,206042,9203526
2002,201084,4465284
2002,202007,103086
2002,207078,207007
2002,207278,7817379
2002,203048,7097
2003,212333,9911055
2002,212323,302243
2002,210217,9909053
2002,211090,9296415
2002,208094,205140
2003,302158,205050
2002,204205,879137
2002,202156,8426994
2002,209067,9903203
2002,11056,5273970
2002,208060,12148
2002,211259,210148
2003,212003,77921
2002,211027,7697099
2003,204248,3712169
2003,212036,6448744
2003,304160,3998146
2002,209047,7334521
2002,207160,9903031
2002,203102,9716160
2002,105233,947276
2003,212179,205204
2003,301058,5182
2002,209150,1558599
2002,203139,9306002
2002,209020,9610167
2002,209116,9711200
2003,302205,5085883
2003,304028,210091
2002,210047,1026464
2002,212278,6609857
2002,206021,4119387
2002,201037,7466978
2002,111278,8173866
2002,111044,9510134
2002,204089,9909114
2002,205075,7351110
2002,205069,9709224
2002,212138,3509994
2003,212069,12136
2002,211127,9103
2002,201076,5007603
2003,301080,3209441
2002,205281,111150
2002,211202,211017
2003,302105,9507158
2002,211277,208215
2002,208144,3495294
2003,209127,9505035
2003,303135,204089
2002,206197,9811083
2002,201181,6445270
2002,205200,7354406
2003,303094,7008
2002,202065,5564692
2003,304119,303207
2002,201023,109213
2002,207109,9704016
2002,203111,5463408
2002,203099,6677873
2003,301164,4048851
2002,201258,9307010
2002,210193,5473195
2002,204089,489924
2002,208044,5393022
2002,112119,7052878
2003,301157,206255
2002,211158,9912247
2002,212303,9910067
2002,106006,104076
2002,208066,205089
2002,205102,6274645
2002,112168,9403027
2003,303172,212150
2003,303211,9903214
2003,212111,211032
2003,212288,9218802
2002,208163,8388026
2002,203107,6007
2002,205177,110007
2003,301255,112207
2003,303236,9904207
2002,206070,8888827
2003,302098,5060047
2002,206038,9908135
2003,301071,8249969
2002,12227,8299472
2002,210051,9908142
2002,201248,6532965
2003,201149,105059
2003,303210,1204734
2002,112073,9503124
2002,207163,6768551
2003,211041,5070155
2003,303253,9611230
2003,301133,106024
2002,205173,9905100
2003,301242,103023
2002,104212,1019312
2002,207183,9911161
2002,201012,248571
2002,205017,6535895
2002,208175,9877713
2003,212290,106113
2002,203229,9348234
2002,205299,8546440
2002,210114,2543951
2002,203270,9912133
2002,203260,1731536
2002,207077,9909163
2002,106014,368866
2002,202139,4365888
2003,303001,210291
2003,304107,9270326
2002,207257,9808149
2002,203260,767349
2002,205085,6361576
2002,201236,105258
2003,301250,8236814
2002,203124,8001
2002,112008,8165
2003,304044,202030
2002,205128,5389363
2002,108097,9806148
2002,209239,1465714
2002,211012,9202015
2002,209003,9187
2002,212029,9204099
2002,204204,5706160
2003,304008,207073
2002,205190,2314791
2002,209121,4069674
2002,212314,8123
2002,202112,109168
2003,303183,7138093
2002,202187,9206078
2002,204043,9803167
2002,208014,2271973
2002,210302,9909089
2002,212252,9802109
2002,210240,7707944
2002,204176,9811099
2003,304092,303205
2002,205037,204066
2002,211055,6773579
2002,204234,2862665
2002,210207,9211096
2002,201258,9804058
2003,303034,111093
2002,201140,4647230
2002,201177,201136
2002,201059,1300471
2002,208169,4483231
2003,212208,205174
2002,206063,9808006
2002,204050,5159835
2002,209241,9390392
2003,210278,6587424
2002,201041,106245
2002,202172,6929532
2002,203223,8201143
2002,211065,201067
2002,111287,106111
2002,201121,8144195
2002,203048,105171
2002,112019,2973062
2002,202140,9906040
2002,208205,9910219
2002,212348,8248613
2002,111208,9904182
2002,203161,6404037
2003,301125,9611184
2002,209082,7830631
2003,304271,5671695
2002,205177,9306069
2002,208209,204146
2002,201032,9512196
2002,206220,111057
2002,203131,9609233
2002,207224,1317340
2002,203070,105031
2003,304231,10252
2002,212037,5260526
2003,207076,9802109
2002,203277,8084709
2002,112032,3843758
2002,209150,4352740
2002,203066,7969636
2002,209068,8446029
2002,106040,6582673
2002,212332,211252
2002,203277,9703031
2002,212135,3680968
2002,203165,559756
2003,302176,261152
2002,203222,9712063
2002,210152,9707246
2002,112165,9903225
2002,202093,8915975
2003,303199,9119456
2002,211269,7063178
2002,208014,9809026
2002,211119,3943802
2002,210157,9062
2003,302162,5660724
2002,212095,3869670
2003,301130,203101
2002,203095,9856560
2003,212133,9801195
2003,302151,2671740
2002,211090,12080
2003,302162,8042
2002,208214,2237
2003,301250,924961
2002,208187,2559662
2003,304178,1919440
2003,303018,8987817
2002,207243,5845318
2002,211130,6920488
2002,204089,107159
2003,301076,1354255
2002,209068,3812520
2002,106286,8241
2002,212088,4293485
2003,212017,9612182
2002,207151,4212475
2002,211234,155233
2003,303198,3246316
2002,212050,7609304
2002,212270,1763446
2002,211080,8390876
2002,205234,3129843
2002,210157,219396
2002,203077,2620596
2002,205236,102976
2003,304059,8916012
2003,301253,5964886
2003,301124,5196856
2002,201258,4914823
2003,301009,5024752
2003,304114,1753350
2003,304145,301076
2002,209222,9909072
2002,212210,206175
2002,212184,9772119
2002,211182,12213
2002,202045,5310574
2002,205110,12145
2002,203048,1739412
2002,203146,132675
2002,212060,9868628
2002,205302,203249
2002,203249,112044
2003,302106,9208031
2002,206171,3957060
2002,209117,9811169
2002,207215,9603051
2002,201259,9049348
2002,205010,7314243
2002,207278,106274
2002,203048,1212067
2002,210014,9812880
2002,206223,206196
2002,203115,3755529
2002,205306,1852237
2002,205154,5333305
2003,303095,2157882
2003,304263,9812135
2002,207227,9902039
2002,211059,8828614
2002,201076,9806074
2003,304040,107086
2003,302224,7845527
2002,205155,8121381
2002,211263,2834093
2002,203048,9560986
2003,304119,3421306
2002,202148,8409665
2002,210291,208048
2002,212010,5218972
2002,204056,362900
2002,206195,1661075
2002,205062,7082190
2002,209217,720323
2002,209255,205098
2002,202147,1569732
2002,208174,9806124
2002,202096,201004
2002,204246,3042856
2002,202052,102042
2002,210196,9910065
2002,205050,9823963
2002,203005,202188
2002,201182,1040232
2002,208055,4769218
2003,304168,9621805
2002,206193,2956585
2002,211074,1192
2002,212165,204004
2002,206045,9503121
2002,205160,6372595
2003,302097,5965119
2002,203176,9659247
2003,304255,2369935
2002,207127,101096
2002,210093,4034053
2002,211271,8142
2002,204023,9505006
2002,211087,495957
2002,106143,9908076
2003,304169,8865894
2003,301162,3085
2002,206038,205184
2002,206245,9472039
2002,212150,207235
2003,303270,1303358
2002,204089,9702093
2002,207099,111261
2003,303158,1048217
2003,304241,9412074
2002,208064,201045
2003,212211,429720
2003,205061,3532786
2002,202037,1733534
2002,208196,6531330
2002,210083,109063
2002,205210,3177621
2003,212343,3820477
2002,212010,9809495
2002,210186,201158
2003,302145,7938371
2002,204120,5645644
2002,210101,205003
2002,204218,103078
2002,205067,9802183
2002,211068,9906161
2002,203021,9310194
2002,202198,6446220
2002,205297,7381435
2002,210077,3397947
2003,304124,7865769
2002,211198,8566844
2002,205198,8395858
2003,302182,9788457
2002,110117,3286603
2003,302205,2213624
2002,209210,111151
2002,205079,9909147
2002,209235,5226264
2002,210081,103010
2002,208163,781741
2003,303024,9606139
2002,207200,9610043
2002,209201,205067
2002,105083,3126227
2002,212159,6548591
2002,203151,5504386
2003,302107,3378906
2003,302207,680025
2003,211238,9472503
2002,204235,102161
2002,212169,9508025
2002,204112,112140
2002,211130,12011
2003,211217,3825555
2002,208092,9711200
2003,303232,9708055
2002,206083,9402037
2002,210145,1859298
2002,205303,4688798
2003,304002,9487495
2002,210128,4576274
2003,303065,9505062
2002,204121,104247
